
"Place/Jammer/Transmitter/Jammer Link Information"

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
29 Aug 2025 09:00:00.000,0,5.000,1.8052,6.805,92.101,76.663,12.3578,103.464,-3.000,1.575,-111.493,-153.357,-86.0889,-38.3538,118.2345,0.0592,0.0029,0.0012,0.0000,118.2977,0.090,1.942,0.037,0.000,1.520,0.013,1.350,0.000,4.951,417.050,-67.5660,49.5407,49.5407,5.0000,1.0000,45.000,-3.0103,-17.4490,-17.4490,49.5407,49.5407,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:05.000,0,5.000,1.8044,6.804,90.263,76.647,12.3436,103.464,-1.212,1.575,-111.483,-153.342,-86.0796,-38.3488,118.2245,0.0591,0.0029,0.0011,0.0000,118.2876,0.090,1.940,0.034,0.000,1.608,0.013,1.350,0.000,5.035,417.134,-67.5619,49.5540,49.5540,5.0000,1.0000,45.000,-3.0103,-17.4357,-17.4357,49.5540,49.5540,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:10.000,0,5.000,1.8043,6.804,88.422,76.645,12.3415,103.464,0.578,1.575,-111.482,-153.340,-86.0782,-38.3481,118.2230,0.0591,0.0029,0.0010,0.0000,118.2860,0.090,1.939,0.032,0.000,1.691,0.013,1.350,0.000,5.116,417.215,-67.5620,49.5554,49.5554,5.0000,1.0000,45.000,-3.0103,-17.4343,-17.4343,49.5554,49.5554,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:15.000,0,5.000,1.8038,6.804,86.584,76.636,12.3335,73.609,-8.064,1.575,-111.477,-112.543,-86.0729,2.4441,118.2174,0.0591,0.0029,0.0009,0.0000,118.2803,0.090,1.938,0.030,0.000,0.110,0.014,1.350,0.000,3.532,415.630,-26.7533,90.3694,90.3694,5.0000,1.0000,45.000,-3.0103,23.3797,23.3797,90.3694,90.3694,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:20.000,0,5.000,1.7979,6.798,84.804,76.524,12.2336,104.209,-16.899,1.575,-111.411,-153.232,-86.0075,-38.3103,118.1468,0.0586,0.0028,0.0009,0.0000,118.2091,0.089,1.923,0.027,0.000,0.857,0.014,1.350,0.000,4.260,416.358,-67.5152,49.6728,49.6728,5.0000,1.0000,45.000,-3.0103,-17.3169,-17.3169,49.6728,49.6728,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:25.000,0,5.000,1.7915,6.792,83.014,76.402,12.1270,104.208,-15.155,1.575,-111.341,-153.124,-85.9373,-38.2726,118.0708,0.0581,0.0028,0.0008,0.0000,118.1325,0.088,1.906,0.025,0.000,0.963,0.014,1.350,0.000,4.346,416.445,-67.4784,49.7797,49.7797,5.0000,1.0000,45.000,-3.0103,-17.2100,-17.2100,49.7797,49.7797,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:30.000,0,5.000,1.7857,6.786,81.192,76.292,12.0319,104.207,-13.383,1.575,-111.278,-153.027,-85.8743,-38.2386,118.0024,0.0576,0.0028,0.0007,0.0000,118.0636,0.087,1.892,0.023,0.000,1.073,0.014,1.350,0.000,4.438,416.537,-67.4455,49.8758,49.8758,5.0000,1.0000,45.000,-3.0103,-17.1139,-17.1139,49.8758,49.8758,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:35.000,0,5.000,1.7804,6.780,79.342,76.193,11.9485,104.206,-11.583,1.575,-111.222,-152.941,-85.8186,-38.2087,117.9420,0.0572,0.0027,0.0007,0.0000,118.0026,0.086,1.879,0.021,0.000,1.187,0.014,1.350,0.000,4.537,416.636,-67.4165,49.9604,49.9604,5.0000,1.0000,45.000,-3.0103,-17.0293,-17.0293,49.9604,49.9604,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:40.000,0,5.000,1.7758,6.776,77.466,76.108,11.8771,104.205,-9.760,1.575,-111.174,-152.867,-85.7707,-38.1828,117.8899,0.0569,0.0027,0.0006,0.0000,117.9501,0.085,1.868,0.019,0.000,1.304,0.014,1.350,0.000,4.639,416.738,-67.3918,50.0331,50.0331,5.0000,1.0000,45.000,-3.0103,-16.9566,-16.9566,50.0331,50.0331,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:45.000,0,5.000,1.7719,6.772,75.567,76.036,11.8178,104.205,-7.917,1.575,-111.134,-152.806,-85.7308,-38.1613,117.8464,0.0566,0.0027,0.0005,0.0000,117.9063,0.085,1.859,0.016,0.000,1.421,0.014,1.350,0.000,4.745,416.844,-67.3713,50.0935,50.0935,5.0000,1.0000,45.000,-3.0103,-16.8962,-16.8962,50.0935,50.0935,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:50.000,0,5.000,1.7688,6.769,73.651,75.979,11.7708,104.204,-6.058,1.575,-111.103,-152.757,-85.6990,-38.1441,117.8119,0.0564,0.0027,0.0005,0.0000,117.8714,0.084,1.851,0.014,0.000,1.538,0.014,1.350,0.000,4.852,416.951,-67.3552,50.1413,50.1413,5.0000,1.0000,45.000,-3.0103,-16.8484,-16.8484,50.1413,50.1413,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:00:55.000,0,5.000,1.7665,6.766,71.720,75.937,11.7364,104.204,-4.185,1.575,-111.079,-152.721,-85.6756,-38.1315,117.7864,0.0562,0.0027,0.0004,0.0000,117.8457,0.084,1.846,0.012,0.000,1.652,0.014,1.350,0.000,4.958,417.057,-67.3437,50.1762,50.1762,5.0000,1.0000,45.000,-3.0103,-16.8135,-16.8135,50.1762,50.1762,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:00.000,0,5.000,1.7650,6.765,69.780,75.910,11.7146,104.204,-2.304,1.575,-111.064,-152.698,-85.6608,-38.1234,117.7702,0.0561,0.0027,0.0003,0.0000,117.8294,0.084,1.843,0.010,0.000,1.763,0.014,1.350,0.000,5.063,417.162,-67.3368,50.1980,50.1980,5.0000,1.0000,45.000,-3.0103,-16.7917,-16.7917,50.1980,50.1980,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:05.000,0,5.000,1.7644,6.764,67.834,75.898,11.7054,104.204,-0.417,1.575,-111.058,-152.688,-85.6545,-38.1200,117.7634,0.0561,0.0027,0.0003,0.0000,117.8225,0.084,1.842,0.008,0.000,1.867,0.014,1.350,0.000,5.165,417.264,-67.3345,50.2066,50.2066,5.0000,1.0000,45.000,-3.0103,-16.7831,-16.7831,50.2066,50.2066,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:10.000,0,5.000,1.7646,6.765,65.887,75.903,11.7090,104.204,1.470,1.575,-111.060,-152.692,-85.6568,-38.1213,117.7661,0.0561,0.0027,0.0002,0.0000,117.8251,0.084,1.842,0.006,0.000,1.965,0.014,1.350,0.000,5.261,417.360,-67.3368,50.2019,50.2019,5.0000,1.0000,45.000,-3.0103,-16.7878,-16.7878,50.2019,50.2019,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:15.000,0,5.000,1.7657,6.766,63.943,75.923,11.7252,104.204,3.355,1.575,-111.071,-152.709,-85.6678,-38.1273,117.7781,0.0562,0.0027,0.0001,0.0000,117.8371,0.084,1.845,0.004,0.000,2.055,0.014,1.350,0.000,5.352,417.450,-67.3437,50.1841,50.1841,5.0000,1.0000,45.000,-3.0103,-16.8056,-16.8056,50.1841,50.1841,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:20.000,0,5.000,1.7677,6.768,62.008,75.958,11.7541,104.204,5.232,1.575,-111.091,-152.739,-85.6873,-38.1379,117.7995,0.0564,0.0027,0.0001,0.0000,117.8586,0.084,1.850,0.002,0.000,2.135,0.014,1.350,0.000,5.434,417.533,-67.3551,50.1531,50.1531,5.0000,1.0000,45.000,-3.0103,-16.8366,-16.8366,50.1531,50.1531,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:25.000,0,5.000,1.7704,6.770,60.084,76.009,11.7949,74.154,5.217,1.575,-111.118,-112.303,-85.7149,2.3262,117.8296,0.0566,0.0027,0.0000,0.0000,117.8889,0.085,1.856,0.000,0.000,0.519,0.012,1.350,0.000,3.822,415.921,-26.8742,90.6064,90.6064,5.0000,1.0000,45.000,-3.0103,23.6167,23.6167,90.6064,90.6064,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:30.000,0,5.000,1.7686,6.769,58.166,75.975,11.7679,74.525,-13.299,1.575,-111.100,-112.485,-85.6966,2.1259,117.8097,0.0564,0.0027,0.0000,0.0000,117.8688,0.084,1.852,0.000,0.000,0.202,0.014,1.350,0.000,3.503,415.601,-27.0712,90.4278,90.4278,5.0000,1.0000,45.000,-3.0103,23.4381,23.4381,90.4278,90.4278,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
29 Aug 2025 09:01:35.000,0,5.000,1.7585,6.759,56.386,75.792,11.6205,76.909,-31.816,1.575,-111.000,-113.685,-85.5964,0.8253,117.7002,0.0557,0.0026,0.0000,0.0000,117.7586,0.083,1.829,0.000,0.000,0.013,0.012,1.350,0.000,3.287,415.386,-28.3695,89.2296,89.2296,5.0000,1.0000,45.000,-3.0103,22.2399,22.2399,89.2296,89.2296,1.0000e-30,1.0000e-30,3000.0000,-9999.9900,-9999.9900
