
"Satellite/GPS_BIIF-10_40730/Transmitter/IIF Link Information"

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
29 Aug 2025 09:00:00.000,0,15.000,14.7727,29.773,-100.443,13.681,25383.9716,-24.174,84.096,1.575,-154.947,-159.084,-129.5439,-3.6362,184.4869,0.1516,0.0015,0.0801,0.0000,184.7202,0.047,3.963,2.497,0.000,0.807,1.268,1.350,0.000,9.933,422.032,-29.8896,43.7620,35.4936,2.0460,1.0000,0.000,0.0000,-19.3470,-27.6155,26.7723,18.5039,1.0000e-30,1.0000e-30,-26.9148,25.4678,-136.0254
29 Aug 2025 09:00:05.000,0,15.000,14.7724,29.772,-100.441,13.681,25385.9291,-24.146,84.115,1.575,-154.949,-159.093,-129.5455,-3.6442,184.4876,0.1521,0.0015,0.0804,0.0000,184.7215,0.047,3.974,2.505,0.000,0.807,1.268,1.350,0.000,9.952,422.051,-29.8979,43.7522,35.4880,2.0460,1.0000,0.000,0.0000,-19.3569,-27.6211,26.7625,18.4983,1.0000e-30,1.0000e-30,-26.9197,25.4628,-136.0303
29 Aug 2025 09:00:10.000,0,15.000,14.7722,29.772,-100.438,13.682,25387.9131,-24.117,84.134,1.575,-154.951,-159.103,-129.5471,-3.6524,184.4883,0.1525,0.0015,0.0806,0.0000,184.7229,0.048,3.985,2.512,0.000,0.807,1.268,1.350,0.000,9.971,422.070,-29.9063,43.7421,35.4787,2.0460,1.0000,0.000,0.0000,-19.3669,-27.6304,26.7524,18.4890,1.0000e-30,1.0000e-30,-26.9288,25.4619,-136.0311
29 Aug 2025 09:00:15.000,0,15.000,14.7719,29.772,-100.436,13.682,25389.9024,-14.485,91.532,1.575,-154.952,-162.809,-129.5488,-7.3568,184.4889,0.1530,0.0015,0.0809,0.0000,184.7243,0.048,3.997,2.520,0.000,0.861,7.033,1.285,0.000,15.743,427.842,-33.6696,39.9771,16.4830,2.0460,1.0000,0.000,0.0000,-23.1319,-46.6260,22.9874,-0.5067,1.0000e-30,9.1089e-02,-46.6066,41.3746,-120.0595
29 Aug 2025 09:00:20.000,0,15.000,14.7716,29.772,-100.432,13.683,25391.9152,-2.448,84.173,1.575,-154.954,-159.123,-129.5505,-3.6690,184.4896,0.1534,0.0015,0.0812,0.0000,184.7257,0.048,4.009,2.528,0.000,0.808,1.268,1.350,0.000,10.011,422.110,-29.9232,43.7219,35.4912,2.0460,1.0000,0.000,0.0000,-19.3872,-27.6179,26.7322,18.5015,1.0000e-30,1.0000e-30,-26.9106,25.4234,-136.0699
29 Aug 2025 09:00:25.000,0,15.000,14.7714,29.771,-100.428,13.683,25393.9287,-2.420,84.192,1.575,-154.956,-159.133,-129.5521,-3.6773,184.4903,0.1539,0.0015,0.0814,0.0000,184.7271,0.048,4.020,2.537,0.000,0.808,1.268,1.350,0.000,10.031,422.130,-29.9317,43.7117,35.5148,2.0460,1.0000,0.000,0.0000,-19.3974,-27.5943,26.7220,18.5251,1.0000e-30,1.0000e-30,-26.8810,25.3836,-136.1101
29 Aug 2025 09:00:30.000,0,15.000,14.7711,29.771,-100.425,13.684,25395.9409,-2.392,84.212,1.575,-154.957,-159.143,-129.5538,-3.6856,184.4910,0.1543,0.0015,0.0817,0.0000,184.7285,0.048,4.032,2.545,0.000,0.808,1.268,1.350,0.000,10.051,422.150,-29.9403,43.7014,35.5361,2.0460,1.0000,0.000,0.0000,-19.4076,-27.5729,26.7117,18.5464,1.0000e-30,1.0000e-30,-26.8540,25.3464,-136.1477
29 Aug 2025 09:00:35.000,0,15.000,14.7708,29.771,-100.421,13.685,25397.9518,-2.364,84.231,1.575,-154.959,-159.153,-129.5555,-3.6939,184.4917,0.1548,0.0015,0.0819,0.0000,184.7299,0.048,4.044,2.553,0.000,0.808,1.268,1.350,0.000,10.071,422.170,-29.9488,43.6912,35.5547,2.0460,1.0000,0.000,0.0000,-19.4178,-27.5543,26.7015,18.5650,1.0000e-30,1.0000e-30,-26.8302,25.3124,-136.1820
29 Aug 2025 09:00:40.000,0,15.000,14.7706,29.771,-100.417,13.685,25399.9615,-2.336,84.251,1.575,-154.961,-159.163,-129.5572,-3.7023,184.4924,0.1552,0.0015,0.0822,0.0000,184.7314,0.049,4.056,2.561,0.000,0.808,1.268,1.350,0.000,10.092,422.190,-29.9574,43.6810,35.5700,2.0460,1.0000,0.000,0.0000,-19.4280,-27.5390,26.6913,18.5803,1.0000e-30,1.0000e-30,-26.8102,25.2822,-136.2124
29 Aug 2025 09:00:45.000,0,15.000,14.7703,29.770,-100.413,13.686,25401.9698,-2.308,84.270,1.575,-154.962,-159.173,-129.5588,-3.7106,184.4931,0.1557,0.0015,0.0825,0.0000,184.7328,0.049,4.067,2.569,0.000,0.808,1.268,1.350,0.000,10.111,422.210,-29.9659,43.6708,35.5816,2.0460,1.0000,0.000,0.0000,-19.4383,-27.5274,26.6811,18.5919,1.0000e-30,1.0000e-30,-26.7946,25.2563,-136.2384
29 Aug 2025 09:00:50.000,0,15.000,14.7701,29.770,-100.409,13.686,25403.9769,-2.280,84.290,1.575,-154.964,-159.183,-129.5605,-3.7189,184.4937,0.1561,0.0016,0.0828,0.0000,184.7342,0.049,4.080,2.578,0.000,0.808,1.268,1.350,0.000,10.132,422.231,-29.9744,43.6606,35.5891,2.0460,1.0000,0.000,0.0000,-19.4485,-27.5199,26.6709,18.5994,1.0000e-30,1.0000e-30,-26.7838,25.2353,-136.2594
29 Aug 2025 09:00:55.000,0,15.000,14.7698,29.770,-100.405,13.687,25405.9827,-2.252,84.309,1.575,-154.966,-159.193,-129.5622,-3.7273,184.4944,0.1566,0.0016,0.0830,0.0000,184.7356,0.049,4.092,2.586,0.000,0.808,1.268,1.350,0.000,10.153,422.252,-29.9830,43.6503,35.5922,2.0460,1.0000,0.000,0.0000,-19.4587,-27.5169,26.6606,18.6025,1.0000e-30,1.0000e-30,-26.7784,25.2196,-136.2752
29 Aug 2025 09:01:00.000,0,15.000,14.7695,29.770,-100.402,13.687,25407.9872,-2.223,84.328,1.575,-154.968,-159.203,-129.5639,-3.7356,184.4951,0.1571,0.0016,0.0833,0.0000,184.7371,0.049,4.104,2.595,0.000,0.808,1.268,1.350,0.000,10.173,422.272,-29.9916,43.6401,35.5905,2.0460,1.0000,0.000,0.0000,-19.4690,-27.5186,26.6504,18.6008,1.0000e-30,1.0000e-30,-26.7784,25.2095,-136.2853
29 Aug 2025 09:01:05.000,0,15.000,14.7693,29.769,-100.398,13.688,25409.9904,-2.195,84.348,1.575,-154.969,-159.213,-129.5656,-3.7440,184.4958,0.1575,0.0016,0.0836,0.0000,184.7385,0.049,4.116,2.603,0.000,0.808,1.268,1.350,0.000,10.194,422.293,-30.0001,43.6298,35.5839,2.0460,1.0000,0.000,0.0000,-19.4792,-27.5251,26.6401,18.5942,1.0000e-30,1.0000e-30,-26.7843,25.2051,-136.2896
29 Aug 2025 09:01:10.000,0,15.000,14.7690,29.769,-100.394,13.688,25411.9923,-2.167,84.367,1.575,-154.971,-159.223,-129.5673,-3.7523,184.4965,0.1580,0.0016,0.0839,0.0000,184.7399,0.049,4.128,2.612,0.000,0.808,1.268,1.350,0.000,10.215,422.314,-30.0087,43.6196,35.5725,2.0460,1.0000,0.000,0.0000,-19.4895,-27.5366,26.6299,18.5828,1.0000e-30,1.0000e-30,-26.7960,25.2065,-136.2880
29 Aug 2025 09:01:15.000,0,15.000,14.7688,29.769,-100.390,13.689,25413.9929,-2.139,84.387,1.575,-154.973,-159.233,-129.5690,-3.7606,184.4972,0.1585,0.0016,0.0841,0.0000,184.7414,0.049,4.141,2.620,0.000,0.808,1.268,1.350,0.000,10.236,422.335,-30.0172,43.6093,35.5561,2.0460,1.0000,0.000,0.0000,-19.4997,-27.5530,26.6196,18.5664,1.0000e-30,1.0000e-30,-26.8135,25.2138,-136.2804
29 Aug 2025 09:01:20.000,0,15.000,14.7685,29.769,-100.386,13.689,25415.9923,-2.111,84.406,1.575,-154.974,-159.243,-129.5707,-3.7690,184.4979,0.1590,0.0016,0.0844,0.0000,184.7428,0.049,4.153,2.629,0.000,0.808,1.268,1.350,0.000,10.258,422.357,-30.0258,43.5991,35.5349,2.0460,1.0000,0.000,0.0000,-19.5100,-27.5742,26.6094,18.5452,1.0000e-30,1.0000e-30,-26.8368,25.2268,-136.2672
29 Aug 2025 09:01:25.000,0,15.000,14.7683,29.768,-100.382,13.690,25417.9903,-2.918,85.246,1.575,-154.976,-159.614,-129.5724,-4.1378,184.4985,0.1594,0.0016,0.0847,0.0000,184.7443,0.050,4.165,2.638,0.000,0.860,7.024,1.285,0.000,16.021,428.120,-30.4535,43.1697,19.4383,2.0460,1.0000,0.000,0.0000,-19.9394,-43.6707,26.1800,2.4486,1.0000e-30,3.0413e-02,-43.6523,41.6129,-119.8220
29 Aug 2025 09:01:30.000,0,15.000,14.7680,29.768,-100.377,13.690,25419.9789,15.574,74.847,1.575,-154.978,-155.914,-129.5741,-0.4360,184.4992,0.1599,0.0016,0.0850,0.0000,184.7457,0.050,4.177,2.646,0.000,0.849,7.012,1.285,0.000,16.020,428.119,-26.7517,46.8698,23.3161,2.0460,1.0000,0.000,0.0000,-16.2393,-39.7930,29.8801,6.3264,1.0000e-30,1.6960e-03,-39.7738,41.4345,-120.0006
29 Aug 2025 09:01:35.000,0,15.000,14.7677,29.768,-100.371,13.691,25421.9163,35.499,65.402,1.575,-154.979,-153.898,-129.5757,1.5815,184.4999,0.1604,0.0016,0.0853,0.0000,184.7471,0.050,4.190,2.655,0.000,0.830,7.004,1.285,0.000,16.013,428.112,-24.7341,48.8857,26.4301,2.0460,1.0000,0.000,0.0000,-14.2233,-36.6790,31.8960,9.4404,1.0000e-30,1.3759e-05,-36.6542,40.3309,-121.1050
29 Aug 2025 09:01:40.000,0,15.000,14.7675,29.768,-100.364,13.691,25423.7590,57.883,58.216,1.575,-154.981,-152.992,-129.5773,2.4893,184.5005,0.1608,0.0016,0.0855,0.0000,184.7484,0.049,4.201,2.663,0.000,0.809,7.001,1.285,0.000,16.009,428.108,-23.8263,49.7920,29.8034,2.0460,1.0000,0.000,0.0000,-13.3171,-33.3057,32.8023,12.8137,1.0000e-30,3.1446e-10,-33.2619,37.8448,-123.5924
29 Aug 2025 09:01:45.000,0,15.000,14.7673,29.767,-100.356,13.692,25425.4759,82.728,54.687,1.575,-154.982,-152.699,-129.5788,2.7830,184.5011,0.1613,0.0016,0.0858,0.0000,184.7497,0.049,4.213,2.671,0.000,0.795,7.003,1.285,0.000,16.016,428.115,-23.5326,50.0841,34.7316,2.0460,1.0000,0.000,0.0000,-13.0249,-28.3775,33.0944,17.7419,1.0000e-30,5.4806e-28,-28.2490,33.1240,-128.3148
