
"Satellite/GPS_BIIF-10_40730/Transmitter/IIF Link Information"

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
29 Aug 2025 09:00:00.000,0,15.000,14.7727,29.773,-100.443,13.681,25383.9716,-75.827,65.158,1.575,-154.947,-157.343,-129.5439,-1.8955,184.4869,0.1516,0.0015,0.0801,0.0000,184.7202,0.047,3.963,2.497,0.000,0.706,0.015,1.350,0.000,8.578,420.677,-28.1349,45.5167,45.5161,2.0460,1.0000,0.000,0.0000,-17.5923,-17.5929,28.5270,28.5264,1.0000e-30,1.0000e-30,21.0793,-20.7717,-169.6783
29 Aug 2025 09:00:05.000,0,15.000,14.7724,29.772,-100.441,13.681,25385.9291,-75.856,65.189,1.575,-154.949,-157.358,-129.5455,-1.9094,184.4876,0.1521,0.0015,0.0804,0.0000,184.7215,0.047,3.974,2.505,0.000,0.705,0.015,1.350,0.000,8.596,420.695,-28.1491,45.5010,45.4991,2.0460,1.0000,0.000,0.0000,-17.6081,-17.6099,28.5113,28.5094,1.0000e-30,1.0000e-30,16.1018,-15.8099,-164.6949
29 Aug 2025 09:00:10.000,0,15.000,14.7722,29.772,-100.438,13.682,25387.9131,-75.886,65.221,1.575,-154.951,-157.374,-129.5471,-1.9236,184.4883,0.1525,0.0015,0.0806,0.0000,184.7229,0.048,3.985,2.512,0.000,0.705,0.015,1.350,0.000,8.615,420.714,-28.1634,45.4850,45.4812,2.0460,1.0000,0.000,0.0000,-17.6241,-17.6279,28.4953,28.4915,1.0000e-30,1.0000e-30,12.9605,-12.6846,-161.5476
29 Aug 2025 09:00:15.000,0,15.000,14.7719,29.772,-100.436,13.682,25389.9024,-96.102,75.436,1.575,-154.952,-203.326,-129.5488,-47.8739,184.4889,0.1530,0.0015,0.0809,0.0000,184.7243,0.048,3.997,2.520,0.000,0.780,0.007,1.350,0.000,8.702,420.800,-74.1147,-0.4680,-0.4680,2.0460,1.0000,0.000,0.0000,-63.5770,-63.5770,-17.4577,-17.4577,4.2485e-01,4.2485e-01,5.6935,-51.3705,-203.8502
29 Aug 2025 09:00:20.000,0,15.000,14.7716,29.772,-100.432,13.683,25391.9152,-22.710,83.681,1.575,-154.954,-157.406,-129.5505,-1.9523,184.4896,0.1534,0.0015,0.0812,0.0000,184.7257,0.048,4.009,2.528,0.000,0.518,0.014,1.350,0.000,8.467,420.566,-28.1906,45.4545,45.4261,2.0460,1.0000,0.000,0.0000,-17.6546,-17.6830,28.4648,28.4364,1.0000e-30,1.0000e-30,4.1743,-3.9289,-129.2136
29 Aug 2025 09:00:25.000,0,15.000,14.7714,29.771,-100.428,13.683,25393.9287,-22.544,83.710,1.575,-154.956,-157.423,-129.5521,-1.9668,184.4903,0.1539,0.0015,0.0814,0.0000,184.7271,0.048,4.020,2.537,0.000,0.519,0.014,1.350,0.000,8.488,420.587,-28.2053,45.4381,45.4143,2.0460,1.0000,0.000,0.0000,-17.6710,-17.6948,28.4484,28.4246,1.0000e-30,1.0000e-30,4.9333,-4.7043,-129.9101
29 Aug 2025 09:00:30.000,0,15.000,14.7711,29.771,-100.425,13.684,25395.9409,-22.377,83.739,1.575,-154.957,-157.439,-129.5538,-1.9813,184.4910,0.1543,0.0015,0.0817,0.0000,184.7285,0.048,4.032,2.545,0.000,0.519,0.014,1.350,0.000,8.508,420.607,-28.2201,45.4216,45.4025,2.0460,1.0000,0.000,0.0000,-17.6874,-17.7066,28.4319,28.4128,1.0000e-30,1.0000e-30,5.8508,-5.6382,-130.7650
29 Aug 2025 09:00:35.000,0,15.000,14.7708,29.771,-100.421,13.685,25397.9518,-22.208,83.767,1.575,-154.959,-157.455,-129.5555,-1.9959,184.4917,0.1548,0.0015,0.0819,0.0000,184.7299,0.048,4.044,2.553,0.000,0.520,0.014,1.350,0.000,8.529,420.628,-28.2349,45.4052,45.3904,2.0460,1.0000,0.000,0.0000,-17.7039,-17.7187,28.4155,28.4007,1.0000e-30,1.0000e-30,6.9697,-6.7736,-131.8211
29 Aug 2025 09:00:40.000,0,15.000,14.7706,29.771,-100.417,13.685,25399.9615,-22.037,83.796,1.575,-154.961,-157.471,-129.5572,-2.0105,184.4924,0.1552,0.0015,0.0822,0.0000,184.7314,0.049,4.056,2.561,0.000,0.520,0.014,1.350,0.000,8.549,420.648,-28.2497,45.3886,45.3779,2.0460,1.0000,0.000,0.0000,-17.7204,-17.7311,28.3989,28.3882,1.0000e-30,1.0000e-30,8.3553,-8.1757,-133.1437
29 Aug 2025 09:00:45.000,0,15.000,14.7703,29.770,-100.413,13.686,25401.9698,-21.865,83.824,1.575,-154.962,-157.488,-129.5588,-2.0252,184.4931,0.1557,0.0015,0.0825,0.0000,184.7328,0.049,4.067,2.569,0.000,0.520,0.014,1.350,0.000,8.570,420.669,-28.2646,45.3721,45.3650,2.0460,1.0000,0.000,0.0000,-17.7370,-17.7441,28.3824,28.3753,1.0000e-30,1.0000e-30,10.1156,-9.9526,-134.8408
29 Aug 2025 09:00:50.000,0,15.000,14.7701,29.770,-100.409,13.686,25403.9769,-21.691,83.853,1.575,-154.964,-157.504,-129.5605,-2.0399,184.4937,0.1561,0.0016,0.0828,0.0000,184.7342,0.049,4.080,2.578,0.000,0.521,0.014,1.350,0.000,8.591,420.690,-28.2795,45.3555,45.3513,2.0460,1.0000,0.000,0.0000,-17.7536,-17.7577,28.3658,28.3616,1.0000e-30,1.0000e-30,12.4504,-12.3040,-137.1121
29 Aug 2025 09:00:55.000,0,15.000,14.7698,29.770,-100.405,13.687,25405.9827,-21.515,83.881,1.575,-154.966,-157.520,-129.5622,-2.0547,184.4944,0.1566,0.0016,0.0830,0.0000,184.7356,0.049,4.092,2.586,0.000,0.521,0.014,1.350,0.000,8.612,420.711,-28.2945,45.3388,45.3369,2.0460,1.0000,0.000,0.0000,-17.7702,-17.7721,28.3491,28.3472,1.0000e-30,1.0000e-30,15.8014,-15.6716,-140.3994
29 Aug 2025 09:01:00.000,0,15.000,14.7695,29.770,-100.402,13.687,25407.9872,-21.338,83.909,1.575,-154.968,-157.537,-129.5639,-2.0695,184.4951,0.1571,0.0016,0.0833,0.0000,184.7371,0.049,4.104,2.595,0.000,0.522,0.014,1.350,0.000,8.633,420.732,-28.3095,45.3221,45.3216,2.0460,1.0000,0.000,0.0000,-17.7869,-17.7874,28.3324,28.3319,1.0000e-30,1.0000e-30,21.5393,-21.4262,-146.0735
29 Aug 2025 09:01:05.000,0,15.000,14.7693,29.769,-100.398,13.688,25409.9904,-21.159,83.938,1.575,-154.969,-157.553,-129.5656,-2.0843,184.4958,0.1575,0.0016,0.0836,0.0000,184.7385,0.049,4.116,2.603,0.000,0.522,0.014,1.350,0.000,8.654,420.753,-28.3246,45.3054,45.3054,2.0460,1.0000,0.000,0.0000,-17.8037,-17.8037,28.3157,28.3157,1.0000e-30,1.0000e-30,47.7414,-47.6450,-172.2116
29 Aug 2025 09:01:10.000,0,15.000,14.7690,29.769,-100.394,13.688,25411.9923,-20.979,83.966,1.575,-154.971,-157.570,-129.5673,-2.0992,184.4965,0.1580,0.0016,0.0839,0.0000,184.7399,0.049,4.128,2.612,0.000,0.522,0.014,1.350,0.000,8.675,420.774,-28.3397,45.2886,45.2882,2.0460,1.0000,0.000,0.0000,-17.8205,-17.8209,28.2989,28.2985,1.0000e-30,1.0000e-30,22.3846,-22.3051,-146.7907
29 Aug 2025 09:01:15.000,0,15.000,14.7688,29.769,-100.390,13.689,25413.9929,-20.796,83.994,1.575,-154.973,-157.587,-129.5690,-2.1141,184.4972,0.1585,0.0016,0.0841,0.0000,184.7414,0.049,4.141,2.620,0.000,0.523,0.014,1.350,0.000,8.697,420.796,-28.3548,45.2718,45.2700,2.0460,1.0000,0.000,0.0000,-17.8373,-17.8390,28.2821,28.2803,1.0000e-30,1.0000e-30,16.1552,-16.0925,-140.4969
29 Aug 2025 09:01:20.000,0,15.000,14.7685,29.769,-100.386,13.689,25415.9923,-20.612,84.022,1.575,-154.974,-157.603,-129.5707,-2.1290,184.4979,0.1590,0.0016,0.0844,0.0000,184.7428,0.049,4.153,2.629,0.000,0.523,0.014,1.350,0.000,8.719,420.817,-28.3700,45.2549,45.2510,2.0460,1.0000,0.000,0.0000,-17.8542,-17.8581,28.2652,28.2613,1.0000e-30,1.0000e-30,12.6104,-12.5645,-136.8874
29 Aug 2025 09:01:25.000,0,15.000,14.7683,29.768,-100.382,13.690,25417.9903,-31.468,84.423,1.575,-154.976,-158.408,-129.5724,-2.9319,184.4985,0.1594,0.0016,0.0847,0.0000,184.7443,0.050,4.165,2.638,0.000,0.525,0.008,1.350,0.000,8.736,420.834,-29.1730,44.4501,44.4501,2.0460,1.0000,0.000,0.0000,-18.6589,-18.6589,27.4604,27.4604,1.0000e-30,1.0000e-30,50.5400,-51.2990,-200.0562
29 Aug 2025 09:01:30.000,0,15.000,14.7680,29.768,-100.377,13.690,25419.9789,44.751,68.402,1.575,-154.978,-153.599,-129.5741,1.8783,184.4992,0.1599,0.0016,0.0850,0.0000,184.7457,0.050,4.177,2.646,0.000,1.072,0.007,1.350,0.000,9.302,421.401,-24.3687,49.2528,49.2528,2.0460,1.0000,0.000,0.0000,-13.8563,-13.8563,32.2631,32.2631,1.0000e-30,1.0000e-30,52.3226,-48.2789,-204.9323
