
"Satellite/GPS_BIIF-10_40730/Transmitter/IIF Link Information"

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
29 Aug 2025 09:00:00.000,0,15.000,14.7727,29.773,-100.443,13.681,25383.9716,-75.827,65.158,1.575,-154.947,-157.343,-129.5439,-1.8955,184.4869,0.1516,0.0015,0.0801,0.0000,184.7202,0.047,3.963,2.497,0.000,0.706,0.015,1.350,0.000,8.578,420.677,-28.1349,45.5167,45.4922,2.0460,1.0000,0.000,0.0000,-17.5923,-17.6168,28.5270,28.5025,1.0000e-30,1.0000e-30,4.8843,-4.5767,-153.4835
29 Aug 2025 09:00:05.000,0,15.000,14.7724,29.772,-100.441,13.681,25385.9291,-75.856,65.189,1.575,-154.949,-157.358,-129.5455,-1.9094,184.4876,0.1521,0.0015,0.0804,0.0000,184.7215,0.047,3.974,2.505,0.000,0.705,0.015,1.350,0.000,8.596,420.695,-28.1491,45.5010,45.4247,2.0460,1.0000,0.000,0.0000,-17.6081,-17.6844,28.5113,28.4350,1.0000e-30,1.0000e-30,-0.0941,0.3860,-148.4993
29 Aug 2025 09:00:10.000,0,15.000,14.7722,29.772,-100.438,13.682,25387.9131,-75.886,65.221,1.575,-154.951,-157.374,-129.5471,-1.9236,184.4883,0.1525,0.0015,0.0806,0.0000,184.7229,0.048,3.985,2.512,0.000,0.705,0.015,1.350,0.000,8.615,420.714,-28.1634,45.4850,45.3297,2.0460,1.0000,0.000,0.0000,-17.6241,-17.7794,28.4953,28.3400,1.0000e-30,1.0000e-30,-3.2354,3.5114,-145.3519
29 Aug 2025 09:00:15.000,0,15.000,14.7719,29.772,-100.436,13.682,25389.9024,-96.102,75.436,1.575,-154.952,-203.326,-129.5488,-47.8739,184.4889,0.1530,0.0015,0.0809,0.0000,184.7243,0.048,3.997,2.520,0.000,0.780,0.007,1.350,0.000,8.702,420.800,-74.1147,-0.4680,-0.4680,2.0460,1.0000,0.000,0.0000,-63.5770,-63.5770,-17.4577,-17.4577,4.2485e-01,4.2485e-01,-10.5305,-35.1465,-187.6264
29 Aug 2025 09:00:20.000,0,15.000,14.7716,29.772,-100.432,13.683,25391.9152,-22.710,83.681,1.575,-154.954,-157.406,-129.5505,-1.9523,184.4896,0.1534,0.0015,0.0812,0.0000,184.7257,0.048,4.009,2.528,0.000,0.518,0.014,1.350,0.000,8.467,420.566,-28.1906,45.4545,44.4037,2.0460,1.0000,0.000,0.0000,-17.6546,-18.7054,28.4648,27.4140,1.0000e-30,1.0000e-30,-12.0279,12.2734,-113.0116
29 Aug 2025 09:00:25.000,0,15.000,14.7714,29.771,-100.428,13.683,25393.9287,-22.544,83.710,1.575,-154.956,-157.423,-129.5521,-1.9668,184.4903,0.1539,0.0015,0.0814,0.0000,184.7271,0.048,4.020,2.537,0.000,0.519,0.014,1.350,0.000,8.488,420.587,-28.2053,45.4381,44.5414,2.0460,1.0000,0.000,0.0000,-17.6710,-18.5676,28.4484,27.5517,1.0000e-30,1.0000e-30,-11.2754,11.5044,-113.7017
29 Aug 2025 09:00:30.000,0,15.000,14.7711,29.771,-100.425,13.684,25395.9409,-22.377,83.739,1.575,-154.957,-157.439,-129.5538,-1.9813,184.4910,0.1543,0.0015,0.0817,0.0000,184.7285,0.048,4.032,2.545,0.000,0.519,0.014,1.350,0.000,8.508,420.607,-28.2201,45.4216,44.6837,2.0460,1.0000,0.000,0.0000,-17.6874,-18.4253,28.4319,27.6940,1.0000e-30,1.0000e-30,-10.3638,10.5763,-114.5507
29 Aug 2025 09:00:35.000,0,15.000,14.7708,29.771,-100.421,13.685,25397.9518,-22.208,83.767,1.575,-154.959,-157.455,-129.5555,-1.9959,184.4917,0.1548,0.0015,0.0819,0.0000,184.7299,0.048,4.044,2.553,0.000,0.520,0.014,1.350,0.000,8.529,420.628,-28.2349,45.4052,44.8256,2.0460,1.0000,0.000,0.0000,-17.7039,-18.2835,28.4155,27.8359,1.0000e-30,1.0000e-30,-9.2501,9.4462,-115.6015
29 Aug 2025 09:00:40.000,0,15.000,14.7706,29.771,-100.417,13.685,25399.9615,-22.037,83.796,1.575,-154.961,-157.471,-129.5572,-2.0105,184.4924,0.1552,0.0015,0.0822,0.0000,184.7314,0.049,4.056,2.561,0.000,0.520,0.014,1.350,0.000,8.549,420.648,-28.2497,45.3886,44.9610,2.0460,1.0000,0.000,0.0000,-17.7204,-18.1481,28.3989,27.9713,1.0000e-30,1.0000e-30,-7.8691,8.0487,-116.9195
29 Aug 2025 09:00:45.000,0,15.000,14.7703,29.770,-100.413,13.686,25401.9698,-21.865,83.824,1.575,-154.962,-157.488,-129.5588,-2.0252,184.4931,0.1557,0.0015,0.0825,0.0000,184.7328,0.049,4.067,2.569,0.000,0.520,0.014,1.350,0.000,8.570,420.669,-28.2646,45.3721,45.0831,2.0460,1.0000,0.000,0.0000,-17.7370,-18.0259,28.3824,28.0934,1.0000e-30,1.0000e-30,-6.1127,6.2757,-118.6127
29 Aug 2025 09:00:50.000,0,15.000,14.7701,29.770,-100.409,13.686,25403.9769,-21.691,83.853,1.575,-154.964,-157.504,-129.5605,-2.0399,184.4937,0.1561,0.0016,0.0828,0.0000,184.7342,0.049,4.080,2.578,0.000,0.521,0.014,1.350,0.000,8.591,420.690,-28.2795,45.3555,45.1849,2.0460,1.0000,0.000,0.0000,-17.7536,-17.9242,28.3658,28.1952,1.0000e-30,1.0000e-30,-3.7810,3.9274,-120.8809
29 Aug 2025 09:00:55.000,0,15.000,14.7698,29.770,-100.405,13.687,25405.9827,-21.515,83.881,1.575,-154.966,-157.520,-129.5622,-2.0547,184.4944,0.1566,0.0016,0.0830,0.0000,184.7356,0.049,4.092,2.586,0.000,0.521,0.014,1.350,0.000,8.612,420.711,-28.2945,45.3388,45.2594,2.0460,1.0000,0.000,0.0000,-17.7702,-17.8497,28.3491,28.2697,1.0000e-30,1.0000e-30,-0.4323,0.5621,-124.1659
29 Aug 2025 09:01:00.000,0,15.000,14.7695,29.770,-100.402,13.687,25407.9872,-21.338,83.909,1.575,-154.968,-157.537,-129.5639,-2.0695,184.4951,0.1571,0.0016,0.0833,0.0000,184.7371,0.049,4.104,2.595,0.000,0.522,0.014,1.350,0.000,8.633,420.732,-28.3095,45.3221,45.3009,2.0460,1.0000,0.000,0.0000,-17.7869,-17.8082,28.3324,28.3112,1.0000e-30,1.0000e-30,5.3041,-5.1910,-129.8385
29 Aug 2025 09:01:05.000,0,15.000,14.7693,29.769,-100.398,13.688,25409.9904,-21.159,83.938,1.575,-154.969,-157.553,-129.5656,-2.0843,184.4958,0.1575,0.0016,0.0836,0.0000,184.7385,0.049,4.116,2.603,0.000,0.522,0.014,1.350,0.000,8.654,420.753,-28.3246,45.3054,45.3053,2.0460,1.0000,0.000,0.0000,-17.8037,-17.8037,28.3157,28.3156,1.0000e-30,1.0000e-30,31.5055,-31.4092,-155.9760
29 Aug 2025 09:01:10.000,0,15.000,14.7690,29.769,-100.394,13.688,25411.9923,-20.979,83.966,1.575,-154.971,-157.570,-129.5673,-2.0992,184.4965,0.1580,0.0016,0.0839,0.0000,184.7399,0.049,4.128,2.612,0.000,0.522,0.014,1.350,0.000,8.675,420.774,-28.3397,45.2886,45.2712,2.0460,1.0000,0.000,0.0000,-17.8205,-17.8378,28.2989,28.2815,1.0000e-30,1.0000e-30,6.1491,-6.0695,-130.5553
29 Aug 2025 09:01:15.000,0,15.000,14.7688,29.769,-100.390,13.689,25413.9929,-20.796,83.994,1.575,-154.973,-157.587,-129.5690,-2.1141,184.4972,0.1585,0.0016,0.0841,0.0000,184.7414,0.049,4.141,2.620,0.000,0.523,0.014,1.350,0.000,8.697,420.796,-28.3548,45.2718,45.1996,2.0460,1.0000,0.000,0.0000,-17.8373,-17.9095,28.2821,28.2099,1.0000e-30,1.0000e-30,-0.0792,0.1419,-124.2626
29 Aug 2025 09:01:20.000,0,15.000,14.7685,29.769,-100.386,13.689,25415.9923,-20.612,84.022,1.575,-154.974,-157.603,-129.5707,-2.1290,184.4979,0.1590,0.0016,0.0844,0.0000,184.7428,0.049,4.153,2.629,0.000,0.523,0.014,1.350,0.000,8.719,420.817,-28.3700,45.2549,45.0940,2.0460,1.0000,0.000,0.0000,-17.8542,-18.0151,28.2652,28.1043,1.0000e-30,1.0000e-30,-3.6222,3.6680,-120.6551
29 Aug 2025 09:01:25.000,0,15.000,14.7683,29.768,-100.382,13.690,25417.9903,-31.468,84.423,1.575,-154.976,-158.408,-129.5724,-2.9319,184.4985,0.1594,0.0016,0.0847,0.0000,184.7443,0.050,4.165,2.638,0.000,0.525,0.008,1.350,0.000,8.736,420.834,-29.1730,44.4501,44.4501,2.0460,1.0000,0.000,0.0000,-18.6589,-18.6589,27.4604,27.4604,1.0000e-30,1.0000e-30,34.5303,-35.2892,-184.0466
29 Aug 2025 09:01:30.000,0,15.000,14.7680,29.768,-100.377,13.690,25419.9789,44.751,68.402,1.575,-154.978,-153.599,-129.5741,1.8783,184.4992,0.1599,0.0016,0.0850,0.0000,184.7457,0.050,4.177,2.646,0.000,1.072,0.007,1.350,0.000,9.302,421.401,-24.3687,49.2528,49.2527,2.0460,1.0000,0.000,0.0000,-13.8563,-13.8563,32.2631,32.2630,1.0000e-30,1.0000e-30,35.9320,-31.8882,-188.5419
29 Aug 2025 09:01:35.000,0,15.000,14.7677,29.768,-100.371,13.691,25421.9163,51.749,47.753,1.575,-154.979,-152.094,-129.5757,3.3853,184.4999,0.1604,0.0016,0.0853,0.0000,184.7471,0.050,4.190,2.655,0.000,1.401,0.008,1.350,0.000,9.653,421.752,-22.8653,50.7545,50.7544,2.0460,1.0000,0.000,0.0000,-12.3546,-12.3547,33.7648,33.7647,1.0000e-30,1.0000e-30,33.6088,-28.0634,-191.0913
29 Aug 2025 09:01:40.000,0,15.000,14.7675,29.768,-100.364,13.691,25423.7590,53.811,26.867,1.575,-154.981,-150.812,-129.5773,4.6690,184.5005,0.1608,0.0016,0.0855,0.0000,184.7484,0.049,4.201,2.663,0.000,1.324,0.010,1.350,0.000,9.599,421.698,-21.5810,52.0372,52.0371,2.0460,1.0000,0.000,0.0000,-11.0719,-11.0719,35.0475,35.0474,1.0000e-30,1.0000e-30,40.5988,-33.7707,-198.8651
29 Aug 2025 09:01:45.000,0,15.000,14.7673,29.767,-100.356,13.692,25425.4759,54.468,5.929,1.575,-154.982,-149.881,-129.5788,5.6014,184.5011,0.1613,0.0016,0.0858,0.0000,184.7497,0.049,4.213,2.671,0.000,0.738,0.014,1.350,0.000,9.034,421.133,-20.6428,52.9739,52.9699,2.0460,1.0000,0.000,0.0000,-10.1351,-10.1392,35.9842,35.9802,1.0000e-30,1.0000e-30,20.1363,-12.3714,-177.9488
29 Aug 2025 09:01:50.000,0,15.000,14.7671,29.767,-100.348,13.692,25427.0525,54.319,-15.019,1.575,-154.984,-149.994,-129.5802,5.4896,184.5016,0.1617,0.0016,0.0860,0.0000,184.7509,0.049,4.222,2.678,0.000,0.000,0.015,1.350,0.000,8.314,420.413,-20.7472,52.8682,51.2964,2.0460,1.0000,0.000,0.0000,-10.2409,-11.8126,35.8785,34.3067,1.0000e-30,1.0000e-30,-6.6365,14.2957,-150.6655
