
"Satellite/GPS_BIIF-10_40730/Transmitter/IIF Link Information"

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
29 Aug 2025 09:00:00.000,0,15.000,14.7727,29.773,-100.443,13.681,25383.9716,-24.174,84.096,1.575,-154.947,-159.084,-129.5439,-3.6362,184.4869,0.1516,0.0015,0.0801,0.0000,184.7202,0.047,3.963,2.497,0.000,0.807,1.268,1.350,0.000,9.933,422.032,-29.8896,43.7620,19.9810,2.0460,1.0000,0.000,0.0000,-19.3470,-43.1280,26.7723,2.9913,1.0000e-30,2.2987e-02,-43.1098,41.6628,-119.8306
29 Aug 2025 09:00:05.000,0,15.000,14.7724,29.772,-100.441,13.681,25385.9291,-24.146,84.115,1.575,-154.949,-159.093,-129.5455,-3.6442,184.4876,0.1521,0.0015,0.0804,0.0000,184.7215,0.047,3.974,2.505,0.000,0.807,1.268,1.350,0.000,9.952,422.051,-29.8979,43.7522,19.9753,2.0460,1.0000,0.000,0.0000,-19.3569,-43.1338,26.7625,2.9856,1.0000e-30,2.3059e-02,-43.1155,41.6586,-119.8347
29 Aug 2025 09:00:10.000,0,15.000,14.7722,29.772,-100.438,13.682,25387.9131,-24.117,84.134,1.575,-154.951,-159.103,-129.5471,-3.6524,184.4883,0.1525,0.0015,0.0806,0.0000,184.7229,0.048,3.985,2.512,0.000,0.807,1.268,1.350,0.000,9.971,422.070,-29.9063,43.7421,19.9660,2.0460,1.0000,0.000,0.0000,-19.3669,-43.1430,26.7524,2.9763,1.0000e-30,2.3175e-02,-43.1248,41.6579,-119.8354
29 Aug 2025 09:00:15.000,0,15.000,14.7719,29.772,-100.436,13.682,25389.9024,-14.485,91.532,1.575,-154.952,-162.809,-129.5488,-7.3568,184.4889,0.1530,0.0015,0.0809,0.0000,184.7243,0.048,3.997,2.520,0.000,0.861,7.033,1.285,0.000,15.743,427.842,-33.6696,39.9771,0.3056,2.0460,1.0000,0.000,0.0000,-23.1319,-62.8034,22.9874,-16.6841,1.0000e-30,4.1794e-01,-62.8030,57.5710,-103.8633
29 Aug 2025 09:00:20.000,0,15.000,14.7716,29.772,-100.432,13.683,25391.9152,-2.448,84.173,1.575,-154.954,-159.123,-129.5505,-3.6690,184.4896,0.1534,0.0015,0.0812,0.0000,184.7257,0.048,4.009,2.528,0.000,0.808,1.268,1.350,0.000,10.011,422.110,-29.9232,43.7219,19.9778,2.0460,1.0000,0.000,0.0000,-19.3872,-43.1313,26.7322,2.9881,1.0000e-30,2.3027e-02,-43.1129,41.6257,-119.8678
29 Aug 2025 09:00:25.000,0,15.000,14.7714,29.771,-100.428,13.683,25393.9287,-2.420,84.192,1.575,-154.956,-159.133,-129.5521,-3.6773,184.4903,0.1539,0.0015,0.0814,0.0000,184.7271,0.048,4.020,2.537,0.000,0.808,1.268,1.350,0.000,10.031,422.130,-29.9317,43.7117,20.0008,2.0460,1.0000,0.000,0.0000,-19.3974,-43.1082,26.7220,3.0111,1.0000e-30,2.2740e-02,-43.0897,41.5923,-119.9016
29 Aug 2025 09:00:30.000,0,15.000,14.7711,29.771,-100.425,13.684,25395.9409,-2.392,84.212,1.575,-154.957,-159.143,-129.5538,-3.6856,184.4910,0.1543,0.0015,0.0817,0.0000,184.7285,0.048,4.032,2.545,0.000,0.808,1.268,1.350,0.000,10.051,422.150,-29.9403,43.7014,20.0219,2.0460,1.0000,0.000,0.0000,-19.4076,-43.0872,26.7117,3.0322,1.0000e-30,2.2479e-02,-43.0685,41.5609,-119.9333
29 Aug 2025 09:00:35.000,0,15.000,14.7708,29.771,-100.421,13.685,25397.9518,-2.364,84.231,1.575,-154.959,-159.153,-129.5555,-3.6939,184.4917,0.1548,0.0015,0.0819,0.0000,184.7299,0.048,4.044,2.553,0.000,0.808,1.268,1.350,0.000,10.071,422.170,-29.9488,43.6912,20.0403,2.0460,1.0000,0.000,0.0000,-19.4178,-43.0688,26.7015,3.0506,1.0000e-30,2.2253e-02,-43.0500,41.5322,-119.9624
29 Aug 2025 09:00:40.000,0,15.000,14.7706,29.771,-100.417,13.685,25399.9615,-2.336,84.251,1.575,-154.961,-159.163,-129.5572,-3.7023,184.4924,0.1552,0.0015,0.0822,0.0000,184.7314,0.049,4.056,2.561,0.000,0.808,1.268,1.350,0.000,10.092,422.190,-29.9574,43.6810,20.0556,2.0460,1.0000,0.000,0.0000,-19.4280,-43.0535,26.6913,3.0659,1.0000e-30,2.2066e-02,-43.0346,41.5066,-119.9882
29 Aug 2025 09:00:45.000,0,15.000,14.7703,29.770,-100.413,13.686,25401.9698,-2.308,84.270,1.575,-154.962,-159.173,-129.5588,-3.7106,184.4931,0.1557,0.0015,0.0825,0.0000,184.7328,0.049,4.067,2.569,0.000,0.808,1.268,1.350,0.000,10.111,422.210,-29.9659,43.6708,20.0672,2.0460,1.0000,0.000,0.0000,-19.4383,-43.0419,26.6811,3.0775,1.0000e-30,2.1925e-02,-43.0229,41.4846,-120.0103
29 Aug 2025 09:00:50.000,0,15.000,14.7701,29.770,-100.409,13.686,25403.9769,-2.280,84.290,1.575,-154.964,-159.183,-129.5605,-3.7189,184.4937,0.1561,0.0016,0.0828,0.0000,184.7342,0.049,4.080,2.578,0.000,0.808,1.268,1.350,0.000,10.132,422.231,-29.9744,43.6606,20.0747,2.0460,1.0000,0.000,0.0000,-19.4485,-43.0343,26.6709,3.0850,1.0000e-30,2.1833e-02,-43.0153,41.4668,-120.0282
29 Aug 2025 09:00:55.000,0,15.000,14.7698,29.770,-100.405,13.687,25405.9827,-2.252,84.309,1.575,-154.966,-159.193,-129.5622,-3.7273,184.4944,0.1566,0.0016,0.0830,0.0000,184.7356,0.049,4.092,2.586,0.000,0.808,1.268,1.350,0.000,10.153,422.252,-29.9830,43.6503,20.0779,2.0460,1.0000,0.000,0.0000,-19.4587,-43.0312,26.6606,3.0882,1.0000e-30,2.1795e-02,-43.0121,41.4533,-120.0417
29 Aug 2025 09:01:00.000,0,15.000,14.7695,29.770,-100.402,13.687,25407.9872,-2.223,84.328,1.575,-154.968,-159.203,-129.5639,-3.7356,184.4951,0.1571,0.0016,0.0833,0.0000,184.7371,0.049,4.104,2.595,0.000,0.808,1.268,1.350,0.000,10.173,422.272,-29.9916,43.6401,20.0763,2.0460,1.0000,0.000,0.0000,-19.4690,-43.0328,26.6504,3.0866,1.0000e-30,2.1815e-02,-43.0136,41.4447,-120.0503
